age,income,city,gender,notes,id,target
18,54368.4256980098,Chicago,M,some free text here about 126,126,0
49,49913.466433987516,NY,M,some free text here about 127,127,0
23,35259.504795235305,SF,F,some free text here about 128,128,0
48,37937.60426087221,LA,F,some free text here about 129,129,0
18,32027.199303092897,Chicago,F,some free text here about 130,130,1
67,61501.531498649165,SF,M,some free text here about 131,131,0
68,53262.88316803018,LA,M,some free text here about 132,132,0
54,81266.62536272324,SF,F,some free text here about 133,133,0
52,72702.14136213259,Chicago,M,some free text here about 134,134,0
66,,LA,F,some free text here about 135,135,0
47,65091.09382672442,LA,M,some free text here about 136,136,0
21,34443.27695712869,NY,M,some free text here about 137,137,0
52,,SF,F,some free text here about 138,138,0
60,,SF,M,some free text here about 139,139,0
31,66178.68652195478,LA,M,some free text here about 140,140,0
66,42218.98901740912,SF,M,some free text here about 141,141,0
57,,LA,F,some free text here about 142,142,0
39,58405.5399830207,LA,M,some free text here about 143,143,0
27,61328.134719732676,NY,M,some free text here about 144,144,1
18,34086.63714993624,LA,F,some free text here about 145,145,0
28,50817.10774470644,SF,M,some free text here about 146,146,0
68,48435.82051665021,Chicago,F,some free text here about 147,147,0
61,44725.8547463664,NY,F,some free text here about 148,148,0
76,58846.9870817543,Chicago,M,some free text here about 149,149,0
41,27815.47807552416,LA,F,some free text here about 150,150,0
77,28655.660492519582,NY,F,some free text here about 151,151,0
20,37603.08318989855,NY,F,some free text here about 152,152,0
75,61763.1293935125,LA,F,some free text here about 153,153,0
52,47068.741946271286,SF,F,some free text here about 154,154,0
53,31031.06842698475,LA,M,some free text here about 155,155,0
48,,LA,M,some free text here about 156,156,0
77,42590.08481177103,LA,M,some free text here about 157,157,0
21,50219.54987633662,LA,F,some free text here about 158,158,0
36,25903.00311878251,LA,F,some free text here about 159,159,0
64,52429.84272775726,SF,M,some free text here about 160,160,0
53,58025.57476173875,NY,F,some free text here about 161,161,0
38,62458.829147984085,SF,F,some free text here about 162,162,1
35,65654.44383201752,LA,F,some free text here about 163,163,0
68,38585.790569730234,NY,M,some free text here about 164,164,0
45,,NY,F,some free text here about 165,165,0
32,38150.54546779434,NY,F,some free text here about 166,166,1
59,42937.405615961616,Chicago,F,some free text here about 167,167,0
76,34504.19429641587,SF,F,some free text here about 168,168,0
19,46532.19935630038,SF,F,some free text here about 169,169,0
54,25846.348099764535,SF,F,some free text here about 170,170,0
28,71459.02846958321,LA,F,some free text here about 171,171,0
40,24119.2141766628,SF,F,some free text here about 172,172,0
61,,Chicago,M,some free text here about 173,173,0
58,63229.024311045345,Chicago,F,some free text here about 174,174,0
29,53075.196315784844,SF,F,some free text here about 175,175,0
20,68170.45260890292,Chicago,M,some free text here about 176,176,0
69,17458.652107362184,SF,M,some free text here about 177,177,0
34,44974.684411258924,Chicago,M,some free text here about 178,178,0
50,24245.426976920055,NY,F,some free text here about 179,179,1
72,28072.017041872507,NY,F,some free text here about 180,180,0
18,41433.468719136596,LA,F,some free text here about 181,181,0
56,,NY,M,some free text here about 182,182,0
37,50913.24800599,LA,M,some free text here about 183,183,0
64,56730.78323161633,NY,M,some free text here about 184,184,0
60,15776.544904990107,Chicago,F,some free text here about 185,185,0
69,38167.85737798443,LA,M,some free text here about 186,186,0
74,67809.06312559248,Chicago,F,some free text here about 187,187,1
78,35881.66846200675,Chicago,F,some free text here about 188,188,0
58,48076.55454507744,LA,M,some free text here about 189,189,0
31,69085.79202122173,NY,F,some free text here about 190,190,0
48,37955.07887018803,NY,M,some free text here about 191,191,0
42,65334.548046250595,Chicago,F,some free text here about 192,192,0
79,72618.1387335216,SF,M,some free text here about 193,193,0
20,36149.87455629789,SF,F,some free text here about 194,194,0
21,59881.663347096626,LA,M,some free text here about 195,195,1
48,69289.58841652417,Chicago,F,some free text here about 196,196,0
52,32673.99454229271,LA,M,some free text here about 197,197,0
61,51783.146812273575,LA,M,some free text here about 198,198,0
31,65482.17467435924,NY,F,some free text here about 199,199,1
66,58099.28648250115,NY,F,some free text here about 200,200,0
58,16231.082189300214,Chicago,M,some free text here about 201,201,0
26,44845.74115606425,SF,F,some free text here about 202,202,0
37,48980.84702257947,NY,M,some free text here about 203,203,0
49,,LA,M,some free text here about 204,204,0
26,27274.77274923616,SF,M,some free text here about 205,205,0
44,36594.92281456878,NY,F,some free text here about 206,206,1
20,39796.34558816598,LA,M,some free text here about 207,207,0
74,52913.09966131132,NY,M,some free text here about 208,208,1
70,35487.53902641704,NY,F,some free text here about 209,209,0
21,66023.89535415613,NY,F,some free text here about 210,210,0
62,68196.31409071104,LA,M,some free text here about 211,211,0
79,67170.78203573832,LA,F,some free text here about 212,212,0
32,75176.06673060113,NY,F,some free text here about 213,213,0
50,57176.07319748625,LA,M,some free text here about 214,214,0
22,,NY,F,some free text here about 215,215,0
21,50639.80215298691,Chicago,M,some free text here about 216,216,0
63,70463.77605844938,SF,M,some free text here about 217,217,0
29,66493.83358229487,LA,M,some free text here about 218,218,1
78,40583.98338353424,NY,M,some free text here about 219,219,0
40,48060.24770196248,NY,M,some free text here about 220,220,0
31,36521.908808117616,Chicago,M,some free text here about 221,221,0
75,78959.71579004543,NY,M,some free text here about 222,222,0
63,52979.09769583741,SF,M,some free text here about 223,223,0
29,47812.891211100316,LA,F,some free text here about 224,224,0
74,46713.28323232329,Chicago,M,some free text here about 225,225,0
34,76437.46655537879,NY,F,some free text here about 226,226,0
42,30766.40800156581,NY,M,some free text here about 227,227,1
47,54047.40191721588,NY,F,some free text here about 228,228,0
39,63180.47893798335,Chicago,M,some free text here about 229,229,0
64,50119.49410474733,LA,M,some free text here about 230,230,0
43,66328.59378662828,SF,M,some free text here about 231,231,0
34,,SF,F,some free text here about 232,232,0
78,62091.23497785236,NY,M,some free text here about 233,233,0
75,57786.57378422452,NY,F,some free text here about 234,234,0
72,48090.73325295917,LA,M,some free text here about 235,235,0
71,37385.239836955654,NY,F,some free text here about 236,236,0
79,42570.40698789574,SF,F,some free text here about 237,237,0
37,47944.699926988294,LA,M,some free text here about 238,238,0
51,64811.3674269083,Chicago,F,some free text here about 239,239,0
58,39221.75477260552,Chicago,M,some free text here about 240,240,0
50,79070.52471014936,LA,M,some free text here about 241,241,0
54,53305.86966396021,NY,M,some free text here about 242,242,0
77,42873.57664448982,SF,M,some free text here about 243,243,0
77,53579.809837328066,LA,M,some free text here about 244,244,0
75,56084.63654177797,LA,M,some free text here about 245,245,0
24,54494.88094538002,NY,M,some free text here about 246,246,0
39,60367.47561827988,SF,M,some free text here about 247,247,0
49,,SF,F,some free text here about 248,248,0
31,54230.664903599725,Chicago,F,some free text here about 249,249,0
25,15685.401110636143,Chicago,M,some free text here about 250,250,0
74,,LA,F,some free text here about 251,251,0
42,68114.30997543302,SF,F,some free text here about 252,252,0
33,32723.029008788086,NY,F,some free text here about 253,253,0
59,52327.73893859395,NY,M,some free text here about 254,254,0
36,40519.86415543134,LA,F,some free text here about 255,255,0
58,22748.410008399176,LA,F,some free text here about 256,256,0
72,,SF,F,some free text here about 257,257,1
33,51336.00071592166,NY,M,some free text here about 258,258,0
29,25919.09146556769,Chicago,M,some free text here about 259,259,0
56,39387.26618724829,Chicago,F,some free text here about 260,260,0
65,17763.43315437468,Chicago,M,some free text here about 261,261,0
47,51894.556298542004,SF,M,some free text here about 262,262,0
75,49345.56349165754,SF,F,some free text here about 263,263,0
19,65190.72528032403,LA,M,some free text here about 264,264,0
49,23864.943200160218,NY,M,some free text here about 265,265,0
72,33972.884313413735,Chicago,M,some free text here about 266,266,0
62,74830.24099982088,NY,F,some free text here about 267,267,0
42,62778.97965801078,SF,F,some free text here about 268,268,0
79,70564.73247349384,NY,M,some free text here about 269,269,1
42,54111.11797978087,Chicago,F,some free text here about 270,270,0
21,56057.13543417657,NY,F,some free text here about 271,271,0
36,34399.570196359346,Chicago,M,some free text here about 272,272,0
65,68800.77234271202,SF,M,some free text here about 273,273,0
21,43966.62774284725,LA,F,some free text here about 274,274,0
60,,Chicago,M,some free text here about 275,275,0
30,73193.68334906953,LA,F,some free text here about 276,276,1
56,51868.19966950771,Chicago,F,some free text here about 277,277,0
53,53098.24772220519,LA,F,some free text here about 278,278,0
40,,SF,M,some free text here about 279,279,0
79,,NY,M,some free text here about 280,280,0
23,56919.96569877331,Chicago,M,some free text here about 281,281,0
41,25181.131602937698,Chicago,F,some free text here about 282,282,0
61,29218.548211613677,Chicago,F,some free text here about 283,283,1
50,56669.47464029042,SF,F,some free text here about 284,284,0
29,37298.573937777415,Chicago,F,some free text here about 285,285,0
58,63399.145365709664,SF,M,some free text here about 286,286,0
38,55801.417470434644,LA,M,some free text here about 287,287,0
28,49922.98592211201,NY,F,some free text here about 288,288,1
72,36047.90007730637,LA,F,some free text here about 289,289,0
61,27588.897221627998,NY,M,some free text here about 290,290,1
55,57031.08902494386,NY,M,some free text here about 291,291,0
79,53335.012232533874,LA,F,some free text here about 292,292,0
46,46930.30270965534,Chicago,F,some free text here about 293,293,0
65,49303.34715470546,Chicago,F,some free text here about 294,294,0
58,39531.74387444937,LA,F,some free text here about 295,295,0
20,48309.47527217936,SF,F,some free text here about 296,296,0
45,34876.02732188617,NY,M,some free text here about 297,297,0
37,49205.99323188886,NY,F,some free text here about 298,298,0
43,54995.08612859059,NY,F,some free text here about 299,299,0
41,40265.27355648386,NY,F,some free text here about 300,300,0
71,26854.153494323575,NY,F,some free text here about 301,301,0
69,74891.90502244188,Chicago,F,some free text here about 302,302,0
64,35448.61666573373,SF,M,some free text here about 303,303,0
38,69385.024440603,NY,F,some free text here about 304,304,0
71,35918.57139323026,SF,F,some free text here about 305,305,0
47,,LA,M,some free text here about 306,306,0
21,75104.71218084452,SF,M,some free text here about 307,307,0
53,79630.876763658,Chicago,F,some free text here about 308,308,0
57,,SF,M,some free text here about 309,309,0
27,,SF,M,some free text here about 310,310,0
27,63076.60235660911,LA,F,some free text here about 311,311,0
59,35210.600547535396,NY,F,some free text here about 312,312,0
41,51401.89197451676,SF,M,some free text here about 313,313,0
21,,Chicago,F,some free text here about 314,314,0
64,25618.60867834896,LA,F,some free text here about 315,315,0
44,42283.31753123423,SF,M,some free text here about 316,316,0
68,54691.80608592412,SF,F,some free text here about 317,317,0
62,73467.68906911247,LA,M,some free text here about 318,318,0
21,62276.532558417646,Chicago,F,some free text here about 319,319,0
49,56032.24723347369,Chicago,M,some free text here about 320,320,0
27,51770.83337489462,Chicago,M,some free text here about 321,321,0
28,50531.6415820885,SF,M,some free text here about 322,322,0
45,42831.483564876035,SF,F,some free text here about 323,323,0
63,59355.39755511044,Chicago,M,some free text here about 324,324,1
25,12957.15373677505,NY,F,some free text here about 325,325,0
57,32763.14367129784,Chicago,F,some free text here about 326,326,0
79,42485.438209070286,LA,F,some free text here about 327,327,0
39,50221.39217553623,SF,F,some free text here about 328,328,0
51,44134.2413137504,LA,M,some free text here about 329,329,0
62,44173.70633045161,LA,F,some free text here about 330,330,0
52,,NY,M,some free text here about 331,331,1
52,49518.959191782305,NY,F,some free text here about 332,332,0
42,49283.992016441916,Chicago,M,some free text here about 333,333,0
51,45839.85576346842,NY,F,some free text here about 334,334,0
23,42917.955979933395,SF,F,some free text here about 335,335,0
58,47220.05544960053,SF,F,some free text here about 336,336,0
54,,SF,F,some free text here about 337,337,0
18,,SF,F,some free text here about 338,338,0
29,54872.65350487264,SF,F,some free text here about 339,339,0
52,32177.86514879988,Chicago,F,some free text here about 340,340,0
23,47758.78576640229,SF,F,some free text here about 341,341,0
71,45450.066273421005,Chicago,M,some free text here about 342,342,1
34,29604.5444108751,LA,F,some free text here about 343,343,0
26,17929.739759636348,LA,F,some free text here about 344,344,0
79,56014.056482476495,NY,F,some free text here about 345,345,1
19,,SF,M,some free text here about 346,346,0
35,61889.116770921304,LA,M,some free text here about 347,347,0
66,46498.65377156519,Chicago,M,some free text here about 348,348,0
53,62896.17970672555,Chicago,M,some free text here about 349,349,0
74,55494.20802717072,Chicago,F,some free text here about 350,350,0
45,60896.34740914431,NY,F,some free text here about 351,351,0
58,50269.07682784203,Chicago,F,some free text here about 352,352,0
70,15717.801321138126,NY,M,some free text here about 353,353,0
54,27817.32308597655,Chicago,F,some free text here about 354,354,0
66,29702.000881259355,NY,F,some free text here about 355,355,0
43,49565.81707572511,NY,M,some free text here about 356,356,0
21,24238.512928159056,LA,F,some free text here about 357,357,0
57,32706.36114251408,LA,M,some free text here about 358,358,0
78,64115.46216477033,Chicago,F,some free text here about 359,359,0
53,34572.09603285835,LA,F,some free text here about 360,360,0
68,50983.03714708325,NY,M,some free text here about 361,361,0
48,56157.05435656056,NY,M,some free text here about 362,362,1
47,32466.04466502989,SF,F,some free text here about 363,363,0
67,,SF,M,some free text here about 364,364,0
51,51098.533537369316,NY,F,some free text here about 365,365,1
36,61245.32199488917,LA,F,some free text here about 366,366,0
35,51292.074502949865,NY,M,some free text here about 367,367,0
47,23941.476092133616,Chicago,F,some free text here about 368,368,0
38,52324.00666161324,SF,M,some free text here about 369,369,0
79,45408.50241366042,SF,F,some free text here about 370,370,0
20,63529.11225847166,LA,M,some free text here about 371,371,1
23,62485.68149629864,NY,M,some free text here about 372,372,0
55,43674.41182329719,SF,F,some free text here about 373,373,0
30,16234.57561327899,LA,M,some free text here about 374,374,0
62,24714.13833824047,SF,M,some free text here about 375,375,0
71,61935.592342661934,LA,M,some free text here about 376,376,0
79,44861.23206009604,SF,F,some free text here about 377,377,0
20,55527.00361105882,Chicago,F,some free text here about 378,378,0
65,48538.54940321601,SF,M,some free text here about 379,379,0
45,59583.10247429233,NY,M,some free text here about 380,380,0
39,65920.80025107088,LA,M,some free text here about 381,381,0
57,38396.19845035554,LA,M,some free text here about 382,382,0
57,39559.76843599162,SF,M,some free text here about 383,383,0
29,43814.65340019557,NY,F,some free text here about 384,384,0
40,22845.395445872695,SF,F,some free text here about 385,385,0
48,72962.40196631377,SF,M,some free text here about 386,386,0
35,49501.23360184205,SF,F,some free text here about 387,387,0
24,48920.26943300878,Chicago,M,some free text here about 388,388,0
25,,LA,M,some free text here about 389,389,1
36,67483.54392894734,NY,M,some free text here about 390,390,0
46,46272.560565397194,Chicago,F,some free text here about 391,391,0
61,42807.756114541146,Chicago,F,some free text here about 392,392,0
37,37378.1499304896,SF,F,some free text here about 393,393,0
67,47984.80626104305,SF,M,some free text here about 394,394,0
59,38641.25492714505,SF,M,some free text here about 395,395,0
47,52450.84702020372,LA,M,some free text here about 396,396,0
64,35902.918493884914,SF,F,some free text here about 397,397,0
39,58345.16236029844,Chicago,F,some free text here about 398,398,0
27,28067.445240917386,LA,F,some free text here about 399,399,0
43,47536.183386721685,Chicago,F,some free text here about 400,400,0
68,59849.5501530732,LA,M,some free text here about 401,401,0
50,37981.98435520515,LA,F,some free text here about 402,402,0
45,37586.21993544465,LA,M,some free text here about 403,403,0
27,41377.56435797536,Chicago,M,some free text here about 404,404,0
46,49688.72623178384,LA,F,some free text here about 405,405,0
61,32766.657140168198,Chicago,F,some free text here about 406,406,1
35,76255.85990428276,NY,F,some free text here about 407,407,0
59,67796.27476561822,Chicago,F,some free text here about 408,408,0
76,,Chicago,F,some free text here about 409,409,0
18,61397.35573355717,LA,M,some free text here about 410,410,0
40,45755.08476476307,LA,M,some free text here about 411,411,1
34,40160.087301742096,SF,F,some free text here about 412,412,0
60,68631.92742509686,NY,F,some free text here about 413,413,0
54,27971.653083407582,NY,M,some free text here about 414,414,0
48,62676.00579455914,SF,F,some free text here about 415,415,0
42,41237.142933666284,Chicago,M,some free text here about 416,416,1
70,,Chicago,M,some free text here about 417,417,0
21,72314.14714499359,LA,M,some free text here about 418,418,1
69,41176.17774011513,NY,M,some free text here about 419,419,0
26,28996.071392724472,LA,F,some free text here about 420,420,0
74,95859.86500441591,SF,M,some free text here about 421,421,0
45,,NY,F,some free text here about 422,422,0
47,55776.94612147499,LA,F,some free text here about 423,423,0
77,55160.62345977527,NY,F,some free text here about 424,424,0
64,33360.27473702736,NY,F,some free text here about 425,425,0
41,55130.86269153807,LA,F,some free text here about 426,426,0
50,41346.69314769463,LA,F,some free text here about 427,427,0
37,66991.11831015364,NY,M,some free text here about 428,428,1
26,,SF,M,some free text here about 429,429,0
25,62902.429740402,Chicago,M,some free text here about 430,430,1
41,49358.85015834536,NY,F,some free text here about 431,431,1
31,48872.34279779753,SF,M,some free text here about 432,432,0
76,47546.34549318616,NY,F,some free text here about 433,433,0
35,40595.30137840793,LA,M,some free text here about 434,434,0
74,74697.58699509253,SF,M,some free text here about 435,435,0
70,48300.86837088831,SF,F,some free text here about 436,436,0
73,70076.72074689632,NY,M,some free text here about 437,437,0
18,55186.86442293995,Chicago,F,some free text here about 438,438,0
29,58499.55392545645,NY,F,some free text here about 439,439,0
46,23602.591704342347,Chicago,F,some free text here about 440,440,0
54,31160.460790661164,SF,M,some free text here about 441,441,0
43,64989.91957539906,Chicago,F,some free text here about 442,442,0
50,50602.52297023271,LA,F,some free text here about 443,443,0
60,57627.10983373595,Chicago,M,some free text here about 444,444,0
32,53530.00503232343,Chicago,M,some free text here about 445,445,0
40,37182.42692459657,SF,M,some free text here about 446,446,1
46,58351.641988143056,Chicago,F,some free text here about 447,447,0
38,32827.901499026084,SF,M,some free text here about 448,448,0
36,49213.11942316097,LA,F,some free text here about 449,449,0
22,58319.70889223834,LA,M,some free text here about 450,450,1
40,,NY,M,some free text here about 451,451,0
53,46947.34464986471,NY,F,some free text here about 452,452,0
76,55950.38902690578,NY,F,some free text here about 453,453,0
37,65676.24506520174,LA,F,some free text here about 454,454,0
25,24913.570488697304,Chicago,M,some free text here about 455,455,0
26,58526.99318837694,SF,F,some free text here about 456,456,0
79,44451.25889272487,LA,M,some free text here about 457,457,0
31,,Chicago,M,some free text here about 458,458,0
23,49710.52437800988,NY,F,some free text here about 459,459,0
18,52098.48870024698,SF,F,some free text here about 460,460,0
26,29799.03051957581,NY,F,some free text here about 461,461,1
33,32003.79238850929,SF,F,some free text here about 462,462,1
33,32957.966940833714,Chicago,M,some free text here about 463,463,0
71,18768.053765113546,LA,M,some free text here about 464,464,0
29,25208.120677036375,NY,F,some free text here about 465,465,0
22,60250.76052804192,LA,F,some free text here about 466,466,1
57,,Chicago,M,some free text here about 467,467,1
46,63806.04060386458,Chicago,M,some free text here about 468,468,0
63,64060.698474076955,Chicago,M,some free text here about 469,469,0
44,59326.11280226808,LA,F,some free text here about 470,470,0
28,24786.959438069003,LA,F,some free text here about 471,471,0
70,59918.26620354473,SF,M,some free text here about 472,472,0
64,59367.612184689795,LA,F,some free text here about 473,473,0
67,67848.75001577579,LA,M,some free text here about 474,474,0
45,39755.57019385644,Chicago,F,some free text here about 475,475,0
69,40203.10241381765,SF,M,some free text here about 476,476,0
53,56446.499742791464,LA,F,some free text here about 477,477,0
59,47400.92043227152,LA,F,some free text here about 478,478,1
36,66209.01875316637,Chicago,M,some free text here about 479,479,0
71,,LA,M,some free text here about 480,480,0
52,38578.98002668055,Chicago,M,some free text here about 481,481,0
69,79627.06760477409,SF,M,some free text here about 482,482,0
48,66589.01178447237,Chicago,F,some free text here about 483,483,0
71,66697.97534286758,Chicago,M,some free text here about 484,484,0
76,49917.125094111216,SF,F,some free text here about 485,485,1
61,30507.925776512802,NY,M,some free text here about 486,486,0
73,75258.83687247822,Chicago,M,some free text here about 487,487,0
78,69235.58627896229,LA,M,some free text here about 488,488,1
78,44844.64664383328,Chicago,F,some free text here about 489,489,0
36,32639.253204936165,SF,F,some free text here about 490,490,0
63,40866.244855551864,LA,F,some free text here about 491,491,0
41,34967.251689429584,SF,M,some free text here about 492,492,0
19,42334.8721745427,Chicago,M,some free text here about 493,493,1
24,20425.823527665496,SF,F,some free text here about 494,494,0
60,64891.17152673004,SF,F,some free text here about 495,495,0
71,68175.4768831133,NY,F,some free text here about 496,496,0
66,38865.960684937505,Chicago,M,some free text here about 497,497,0
48,66478.20005592341,Chicago,M,some free text here about 498,498,0
77,30577.679999754615,Chicago,F,some free text here about 499,499,0
